,vijest,kategorija
581," ""Originalan primjerak američkog Ustava, jedan od samo dva za koja se zna da su u privatnom vlasništvu, bit će prodan na aukciji u decembru, a očekuje se da bi mogao postići cijenu od 30 miliona američkih dolara, objavio je Sotheby's.\n Konačna verzija američkog Ustava objavljena je u 500 primjeraka i podijeljena učesnicima Ustavne konvencije 1787. godine, uključujući Georgea Washingtona, Alexandera Hamiltona i Benjamina Franklina, ali gotovo svi su s vremenom izgubljeni, prenosi AFP.\xa0Sačuvano ih je ukupno 13, od kojih je 11 u vlasništvu vlada i institucija.\n Prošle godine jedan od dva primjerka u privatnom vlasništvu prodan je za 43,2 miliona američkih dolara. Kupio ga je menadžer hedge fonda Ken Griffin, koji je ponudio više od grupe 17.000 investitora u kriptovalute koji su prikupili 40 miliona dolara ne bi li kupili dokument, obećavajući da će biti izložen na javnoj digitalnoj domeni.\nRekord za historijski dokument\n Griffin je postavio rekord za najvišu cijenu ikad plaćenu za historijski dokument na aukciji, po Sotheby'su. Njegov primjerak Ustava izložen je u besplatnom javnom muzeju.\n Drugi primjerak bit će prodan na aukciji 13. decembra za iznos koji bi mogao dosegnuti 30 miliona dolara ili čak i više, rekao je Richard Austin, stručnjak za rukopise i stare knjige pri Sotheby'su u New Yorku.\n Austin je rekao za AFP kako bi „želio vidjeti da još neka privatna osoba ili možda grupa bude odgovorna za brigu o tom jako važnom dokumentu”.\nDokument će biti izložen u Sotheby'su u New Yorku od petka, 4. novembra."", 'Na Međunarodnom festivalu dokumentarnog filma „Beldocs“ ove će godine biti prikazano 105 filmova, među kojima je devet svjetskih i 91 srpska premijera, kao i 30 projekata u razvoju ili različitim fazama produkcije.\n Beldocs, 16. po redu, održava od 10. do 17. maja na osam lokacija u Beogradu, a festival otvara film Mladena Kovačevića Još jedno proleće, javila je Beta.\n Jedinstvena i odvažna filmska ostvarenja renomiranih i mladih autora iz cijelog svijeta čine ovogodišnju selekciju izuzetno aktuelnom i relevantnom, najavili su organizatori.\n Direktorica festivala Mara Prohaska Marković izjavila je da su izabrani filmovi „veoma interesantni, aktuelni, uzbudljivi i raznovrsni u tematskom, vizuelnom, kulturološkom, geografskom smislu, kao i u smislu filmskog jezika i autorskih pristupa“.\n „Selekcija Beldocsa svake godine oslikava beskompromisnu posvećenost smelim, autentičnim i kreativnim dokumentarcima, filmovima koji produbljuju naše poimanje realnosti i pokreću društveno relevantne teme sa kojima se danas suočavamo“, kazala je.\nI ove godine u hibridnom formatu\n Selektor festivala Igor Stanojević smatra da će ove godine „Beldocs imati jedan od najboljih programa do sada“.\n „U srpskom takmičarskom programu ove godine biće čak 12 naslova, što mnogo toga govori o izuzetnom kvalitetu domaćeg dokumentarnog filma“, rekao je.\n Festival će, kao i proteklih godina, biti u hibridnoj formi, budući da će dio programa biti prikazan na platformi Beldocs Online i televiziji Insajder.\nCjelokupan program festivala dostupan je na zvaničnom sajtu, na kojem se i direktno mogu kupiti i ulaznice, koje su već u prodaji.",2
582," 'U Albaniji su održani lokalni izbori na kojima je Socijalistička partija premijera Edija Rame, prema preliminarnim rezultatima, pobijedila u tri opštine u kojima se brojanje obavljalo elektronski – u Vori, Kamzi i Elbasanu, javljaju albanski mediji, prenosi Tanjug.\n Rama je proglasio pobjedu njegove stranke u 50 opština, dok je opozicija trijumfovala u 11 opština, javlja Albanian Post.\nBerisha optužio Ramu\n Jedan od lidera opozicione koalicije Zajedno pobjeđujemo, bivši predsjednik Sali Berisha, optužio je premijera Ramu da je koristio ”bandite da manipuliše izbornim procesom”.\n “Rama je učinio sve da manipuliše rezultatom. Kada upadnete na biračka mjesta sa nasilnicima, to radite da biste promijenili ishod. Kad ste podijelili desetine, da ne kažem stotine miliona eura… Dva dana su stotine miliona podijeljene bandama i sve je to urađeno sa zaštitom policije. Što se tiče službenika koji su dijelili novac, policija je bila ravnodušna”, optužio je Berisha Ramu, prenio je portal “BalkanWeb”.\n U političkom nadmetanju učestovalo je 144 kandidata za gradonačelnike i 23.762 kandidata za opštinska vijeća.\nPravo glasa na izborima imalo je 3.650.550 birača.",1
583," 'Serijal “Evropske priče” od pet epizoda posvećen je liberalnim i demokratskim vrijednostima, temelju evropske poslijeratne strukture, koje su pomogle prevazilaženju antagonizama koji su ovaj kontinent stoljećima držali u trajnom stanju rata.\n U serijalu pogledajte priče koje govore o uspjehu Finske u stvaranju najboljeg obrazovnog sistema na svijetu, kao i sicilijanskoj pobuni protiv korumpiranih političara i mafije te impresivnom profesionalnom integritetu dvojice poznatih tužilaca Falconea i Borsellina.\n Tu je i priča o vještini danske demokratije da integriše neke utopističke ideologije poput anarhizma i hipijevske ideologije, kao i o njemačkoj hrabrosti da se suoči s teškim naslijeđem Hitlerovog nacizma.\n Konačno, posljednja epizoda bavi se razlozima trenutne krize liberalnih vrijednosti u Mađarskoj, kako bi se otkrile greške samih liberala, čime su napravili prostor za pojavu iliberalizma.\n Prvu epizodu serijala “Evropske priče” gledajte u progamu Al Jazeere Balkans u nedjelju 4. juna u 19:05, repriza u 23:05; naknadno i na digitalnim platformama Al Jazeere Balkans.\nO autoru projekta\n Borjan Jovanovski počeo je novinarsku karijeru 1991. na Makedonskom radiju.\n Godine 1993. prelazi na prvu privatnu i nezavisnu televiziju A1, koja je bila najutjecajniji medij sve do 2011. kad je zatvorena policijskim upadom. Krajem ‘90-ih Jovanovski je bio dopisnik A1 iz Brisela.\nBorjan Jovanovski (Ustupljeno Al Jazeeri)\n Nakon povratka 2000. postaje urednik i voditelj na toj televiziji, za što je dobio nacionalno priznanje za najutjecajnijeg novinara u Sjevernoj Makedoniji. Godine 1998. dobio je prestižnu nagradu “Krste Misirkov” od udruženja novinara za najboljeg TV-novinara, a 2002. prvu nacionalnu nagradu za istraživačko novinarstvo Instituta za medije. Jovanovski je bio\xa0autor i voditelj Eurozooma, jedne od najpopularnijih emisija u Sjevernoj Makedoniji.\n(Ustupljeno Al Jazeeri)\n Osnivač je i portala novatv.mk, gdje je bio glavni urednik do 2020. Budući da govori engleski i francuski jezik, autor je serijala intervjua s istaknutim političarima i intelektualcima\xa0širom Evrope. Napravio je pauzu u novinarskoj karijeri 2003, kada je bio glasnogovornik pokojnog predsjednika Borisa Trajkovskog\xa0sa zadatkom\xa0promocije multietničnosti i multikulturalnosti Sjeverne Makedonije.\n \n\n Autor projekta / BORJAN JOVANOVSKI\n Režija / MARKO ĐOKOVIĆ\n Produkcija za EUROVISION\n Producent / BORJAN JOVANOVSKI\n Izvršni producent / DEJAN KRAJČEVSKI\n Kinematograf / PETAR KOČIŠKI\n Snimatelj / ALEKSANDAR RISTESKI\n Montaža / / MARKO ĐOKOVIĆ\n Postprodukcija / KRUG FILM / AD+VENTURE\nProjekt podržale /AGENCIJA ZA FILM REPUBLIKE SJEVERNE MAKEDONIJE / MAKEDONSKA RADIO-TELEVIZIJA",2
584," ""Zbirka kompjutera proizvođača Apple, koja obuhvaća predmete stare i gotovo pola stoljeća i koja prati razvoj jedne od najutjecajnijih svjetskih kompanija, krajem marta će biti ponuđena na prodaju u Kaliforniji, javlja AFP.\n Ljubitelji revolucionarne kompanije Stevea Jobsa moći će se nabaviti zbirku uređaja koji pokazuju kako je Apple postao poznato ime.\n Arhiva sadrži više od 500 kompjutera i Apple uređaja koje je desetljećima prikupljao švicarski predavač i poduzetnik Hanspeter Luzi.\n „Svi ti proizvodi zaista su oblikovali vrijeme i doveli do društvene promjene u načinu na koji radimo, učimo, djelujemo i komuniciramo, pa čak i provodimo svoje slobodno vrijeme“, rekao je Erik Rosenblum iz kuće Julien's Auctions na Beverly Hillsu. „Nalazimo se u zanimljivom vremenu. Upravo sada, kad smo prošli put od svakodnevne upotrebe Appleovih kompjutera do historijskog eksponata“.\n‘Djedovi’ naših iPhonea, iPada i iMacova\n Zbirka uključuje Apple II Plus, koji je bio u upotrebi od 1979. do 1982. godine, zajedno s monitorom i igraćim konzolama, kao i originalni Macintosh iz 1984. godine.\nApple II Plus je bio u upotrebi od 1979. do 1982. godine (Reuters)\n „Svi ti eksponati su djedovi naših iPhonea, iPada i iMacova“, rekao je Rosenblum. „Baš je cool vidjeti evoluciju“.\nAukcija zakazana za 30. mart slijedi će nakon što je originalni iPhone iz 2007. godine, koji nikada nije vađen iz kutije, prodan za 63.000 dolara, prenosi Hina."", 'Pristup društvenoj mreži Twitteru bio je u noći na četvrtak onemogućen nekim korisnicima koji se nisu mogli povezati na svoj račun ili nisu mogli konzultirati neke račune, javlja Hina.\n Mrežna stranica Downdetector objavila je da je oko 10.000 korisnika prijavilo probleme u radu Twittera, a najviše je prijava bilo oko 1.35 sati po srednjoeuropskom vremenu, nakon čega su prestajale stizati.\n Razmjeri kvara zasad nisu poznati, ali su novinari agencije France Pressea u Sjedinjenim Državama i u Aziji prijavili teškoće u pristupanju svojim računima.\nOsjetljiv trenutak za Twitter\n Ovaj\xa0tehnički kvar\xa0događa se u trenutku osjetljivom za Twitter koji je u previranjima pošto ga je krajem listopada kupio Elon Musk za 44 milijarde dolara.\n Svestrani poduzetnik je otpustio velik broj zaposlenika, među kojima i tehničko osoblje platforme.\nKorisniku koji ga je u srijedu upitao je li Twitter “pao”, Musk je odgovorio: “Meni radi”.",4
585," 'Mađarska vlada odlučila je povući svoje predstavnike i izaći iz Međunarodne investicijske banke (IIB), objavilo je ministarstvo ekonomije, nakon što je SAD banci uveo sankcije zbog veza s Rusijom, javlja Hina.\n SAD je uveo sankcije trojici visokih dužnosnika IIB-a u Budimpešti, Rusima Nikolaju Kosovu i Georgiju Potapovu te Mađaru Imreu Laszloczkom.\n Washington je saopćio da je Mađarska ignorirala zabrinutost SAD-a zbog IIB-a, „netransparentne platforme Kremlja”, čije je sjedište 2019. preseljeno iz Moskve u Budimpeštu.\n IIB je multilateralna razvojna banka koju su 1970. osnovale članice nekadašnjeg Varšavskog pakta. Nakon raspada Sovjetskog saveza članstvo se počelo osipati.\n Poljska je istupila iz IIB-a 2000. godine, a Češka i Slovačka lani, nakon što su ruske snage ušle u Ukrajinu.\nSAD zabrinut zbog prisutnosti banke\n Istupanje iz IIB-a najavile su i Rumunija i Bugarska, u junu odnosno augustu ove godine.\n Krajem januara Mađarska je imala 25,27 posto udjela u IIB-u i bila je drugi dioničar po snazi, nakon Rusije sa 45,44 posto, prema internet stranici banke koja kao članice navodi i Kubu, Vijetnam i Mongoliju.\n Američki ambasador u Mađarskoj David Pressman rekao je da je SAD izrazio zabrinutost zbog prisutnosti banke, ali je, za razliku od drugih NATO saveznika, mađarska vlada otklonila te bojazni, ustrajući u pružanju gostoprimstva IIB-u.\n„Zabrinjava nas kontinuirana spremnost mađarskih čelnika na proširivanje i produbljivanje veza s Ruskom Federacijom, uprkos brutalnoj agresiji Rusije na Ukrajinu i prijetnji transatlantskoj sigurnosti”, rekao je Pressman.",3
586," 'Piše: Mansur Mirovalev\n U februaru prošle godine, prvog dana rusko-ukrajinskog rata, zaglušujuća buka eksplozija od koje se ledi krv u žilama probudila je Kirila Borisenka prije zore.\n U roku od nekoliko sati, a zatim više od četiri sedmice, 24-godišnji dobrovoljac pomogao je u odbijanju ruskih napada na njegov rodni grad Brovarij, sjeverno od glavnog grada Kijeva.\n I dok su zapadne vlade očekivale da će glavni grad Ukrajine pasti za nekoliko dana i pozivale vladu predsjednika Volodimira Zelenskog da pobjegne, Borisenko nikada nije sumnjao u konačnu pobjedu svoje zemlje.\n Ovih dana Borisenko prikuplja donacije za vojsku i uvjeren je da je Kijev spreman i voljan započeti dugo očekivani proljetni protunapad.\n “Do kraja godine oslobodit ćemo sve naše teritorije, uključujući Krimski poluotok koji je Rusija pripojila 2014.”, rekao je Borisenko za Al Jazeeru.\n Šezdeset osam posto Ukrajinaca želi “potpuno” oslobađanje svih okupiranih teritorija, čak i ako rat potraje duže i podrška Zapada opadne, prema anketi kijevskog Sociološkog instituta, objavljenoj početkom marta.\n Devedeset i pet posto Ukrajinaca vjeruje da je vojna pobjeda njihove nacije gotovo izvjesna, prema drugom istraživanju objavljenom krajem februara.\n Ankete su pokazale veliku razliku u odnosu na prijeratna mišljenja. Samo 56 posto Ukrajinaca vjerovalo je u tadašnju teoretsku pobjedu nad Rusijom u januaru 2022, samo nekoliko sedmica prije početka rata.\nVelika vjera u vojsku\n Od tada, kod većine Ukrajinaca prevladava osjećaj da su neprijateljske snage, iako brutalne prema civilima, neorganizirane i slabo opremljene. I mnogi slave vlastite oružane snage.\n “Šta god da se dogodi, mi smo s našim momcima”, rekla je Olha, “dvostruka izbjeglica”, za Al Jazeeru.\n Zadržala je svoje prezime jer ima rođake u istočnom gradu Makivki koji je pod kontrolom separatista.\n Olha je sa svojim suprugom pobjegla iz tog grada iz okupiranog pojasa u regiji Donbas 2014. nakon što su se pobunjenici koje podržava Moskva borili protiv centralne vlade i formirali dvije otcijepljene “narodne republike”.\n Par se nastanio 300 km sjeverno od Makijevke u Harkovu, drugom po veličini gradu u Ukrajini.\n Unajmili su stan u četvrti Saltovka, gdje su dvije trećine stambenih zgrada oštećene neprekidnim ruskim granatiranjem nakon prošlogodišnje invazije Kremlja.\n Prvog dana rata, usred panike i eksplozija, par se ponovno spakirao i otišao u Kijev.\n Proživjeli su kroz mjesece granatiranja i nestanka struje dok je Moskva počela gađati ključnu infrastrukturu.\n Ipak, za Olhu postoji i dobra strana: rat je potaknuo snažan osjećaj nacionalnog jedinstva.\n Po prvi put u svojoj postsovjetskoj historiji Ukrajinci su prevladali svoje regionalne, političke i jezične razlike, rekla je.\n “Svi su jedinstveni u mišljenjima i stavovima. Svi su za pobjedu,” rekla je Olha.\nProtuofanziva u najavi\n Vlada Volodimira Zelenskog ne iznosi detalje svojih protuofanzivnih planova, ali vojni analitičari rekli su za Al Jazeeru da postoje dva moguća smjera.\n Jedan je preko djelomično oslobođene regije Herson kako bi se prepolovio “kopneni most” teritorija pod ruskom okupacijom koji povezuje Krim s Rusijom, dok drugi leži na istoku, prema jako utvrđenim separatističkim i ruskim položajima u Donbasu.\n Ukrajinski dužnosnici kažu da je protuofanziva blizu, ali nisu službeno objavili njen početak.\n Ali niz eksplozija koje su uništile skladišta goriva, infrastrukturu za prenos električne energije, teretne vozove i vojne zgrade u anektiranom Krimu i zapadnoj Rusiji posljednjih dana signalizira da je ona već u toku.\n “Ovo su pripremni radovi uoči široke, sveobuhvatne ofanzive koju svi očekuju”, rekla je glasnogovornica ministarstva odbrane Natalija Humenijk u televizijskim izjavama u nedjelju o požaru u blizini južnog krimskog grada Sevastopolja u kojem je uništeno 10 rezervoara s gorivom za rusku mornaricu na \xa0Crnom moru.\n Čak su i najvjerniji zagovornici ruskog rata priznali da su prvi koraci ukrajinske protuofanzive bili efikasni.\n “Unaprijed planirano uništavanje naših skladišta goriva uoči strateške protuofanzive ukrajinske vojske je u toku”, rekao je u četvrtak na Telegramu Viktor Alksnis, bivši zastupnik u Državnoj dumi, donjem domu ruskog parlamenta.\n Najsimboličniji napad dogodio se rano u srijedu kada su dva drona eksplodirala iznad zgrade Kremlja.\n Moskva je to nazvala “terorističkim napadom” i “pokušajem atentata” na ruskog predsjednika Vladimira Putina.\n Ali ukrajinski čelnici negirali su da stoje iza eksplozija, a glasnogovornik zračnih snaga Jurij Ihnat podrugljivo je okrivio “NLO-e”.\n‘Taktički napad na Kremlj’\n Vojni analitičar rekao je međutim da je napad bespilotnim letjelicama bio dio osmišljene strategije Kijeva da prisili Moskvu da ispaljuje krstareće rakete na ukrajinsku prijestolnicu, gdje bi ih oborili američki sistemi protuzračne odbrane Patriot i Iris.\n “Nedvojbeno je vladi Zelenskog korisno namamiti novu seriju ruskih krstarećih projektila prema Kijevu”, rekao je za Al Jazeeru Nikolaj Mitrohin s njemačkog univerziteta u Bremenu.\n Rekao je da će “vojska” ukrajinskih bespilotnih letjelica uništiti elektrane, rafinerije nafte, skladišta goriva i hemijska postrojenja u i oko Moskve i pokazati prosječnim Rusima koliko su ograničene mogućnosti protuzračne odbrane, čak i iznad glavnog grada.\n Ali nekim je Ukrajincima napad dronom na Kremlj poslao pogrešan signal.\n “Ko god je to učinio neodgovorni je avanturist”, rekao je za Al Jazeeru Ilja Rodčenko, menadžer u trgovini elektronikom u centru Kijeva. “To otuđuje mali broj Rusa koji su na našoj strani.”\n Brojka nije beznačajna, prema posljednjem ruskom nezavisnom ispitivanju javnog mnijenja.\n Prema anketi Levada centra provedenoj u aprilu, 16 posto Rusa “ne podržava” sukob, dok je 75 posto za rat.\n Šezdeset i dva posto Rusa “boji se” ukrajinske protuofanzive, pokazalo je istraživanje.\nUprkos ogromnim naporima propagandnog stroja pod kontrolom Kremlja, 52 posto Rusa smatra da “glavne poteškoće” povezane s ratom u Ukrajini “tek dolaze”, pokazalo je istraživanje.",5
587," 'Na sjeverozapadu Bosne i Hercegovine traje borba s poplavama.\n Vlada Unsko-sanskog kantona proglasila je stanje prirodne nesreće nakon što su poplavljene stotine objekata. Najteže je u Bosanskoj Krupi i Bihaću. U Bosanskoj Krupi jutros je izmjeren rekordan vodostaj Une, a magistralna cesta iz Bihaća prema tom gradu je blokirana zbog poplava. Najugroženiji stanovnici su evakuirani, a bit će zatražena i pomoć Federalne uprave civilne zaštite.\nEmir Skenderagić prati poplave u BiH.",1
588," 'Britanski regulator za energiju Ofgem najavio je istragu u energetskom sektoru zbog naglog rasta broja domaćinstava s brojilima “na pretplatu” koja im ograničavaju potrošnju, prenosi Hina.\n Nakon što potroše količinu na koju su se “pretplatili”, građani ostaju bez energije sve dok ponovno ne uplate određeni iznos, objašnjava BBC.\n Vlada je upozorila dobavljače da bi trebali prestati prisiljavati domaćinstva na ugradnju takvih brojila, a regulator im je poručio da će poduzeti mjere ne budu li vodili brigu o ugroženima.\n Udruga Citizens Advice procjenjuje da je prošle godine 3,2 miliona ljudi u Velikoj Britaniji ostalo bez kredita na brojilu “na pretplatu”, odnosno po jedan svakih 10 sekundi.\n Ministar poslovanja, energije i industrijske strategije Grant Shapps upozorio je da će “imenovati i posramiti” dobavljače koji ni izbliza ne čine dovoljno kako bi zaštitili ranjive potrošače.\nIpak nema mogućnosti da se mjera zabrani\n Čelnik Ofgema Jonathan Brearley je “zabrinut” zbog naglog rasta broja domaćinstava koja dobavljači prebacuju na takva brojila, napominjući da to rade “ponekad i bez njihovog znanja”.\n “Broj prisilno ugrađenih pretplatničkih brojila izuzetno je visok. Neprihvatljivo je da se ranjive potrošače zimi ostavlja u mraku i na hladnoći”, kazao je Brearley, te najavio istragu.\n “Ako utvrdimo da u tom procesu nisu dovoljno pazili, poduzet ćemo protiv njih daljnje zakonske korake”, upozorio je.\nOfgem je pozvao dobavljače da prestanu s prisilnom ugradnjom brojila “na pretplatu” ako nisu prethodno iscrpili sve druge opcije, iako nema ovlasti potpuno zabraniti tu mjeru.",3
589," 'Američki manjak u razmjeni robe i usluga sa svijetom porastao je u decembru više od 10 posto, odražavajući snažan rast uvoza i pad izvoza, pokazali su podaci Ministarstva trgovine.\n Trgovinski deficit porastao je u decembru na 67,4 milijarde dolara, sa revidirane 61 milijarde dolara u novembru, objavilo je Ministarstvo trgovine, prenosi Hina.\n Uvoz se u decembru povećao za 1,3 posto, na 317,6 milijardi dolara, a izvoz se smanjio za 0,9 posto, na 250,2 milijarde dolara, pokazuju podaci.\nDeficit porastao u odnosu na novembar\n Deficit u robnoj razmjeni porastao je za 7,4 milijarde dolara u odnosu na novembru, na 90,6 milijardi dolara.\n Višak u razmjeni usluga uvećan je za milijardu dolara, na 23,2 milijarde dolara.\n U cijeloj prošloj godini SAD u razmjeni sa svijetom bilježi deficit od 948,1 milijardu dolara, veći za 12,2 posto nego u 2021. godini.\xa0Pritom je vrijednost izvoza uvećana za 17,7 posto, na 3.000 milijardi dolara.\n Uvoz je porastao za 16,3 posto, na 3.960 milijardi dolara.\n Daleko najveći deficit, prema podacima iz decembra, SAD je zabilježio u razmjeni s Kinom, od 22,8 milijardi dolara.\xa0Slijedi Evropska unija, s kojom ima deficit od 18,6 milijardi dolara.\nNajveći manjak u razmjeni s Njemačkom\n Dvocifrenu brojku bilježi i s Meksikom – 12 milijardi dolara.\n Od zemalja članica EU-a, SAD ima najveći manjak u razmjeni s Njemačkom – osam milijardi dolara, a blizu je i Irska – 5,8 milijardi dolara.\nDecembarski podaci pokazuju da SAD najveći suficit bilježe u razmjeni s Južnom i Srednjom Amerikom –\xa0 5,1 milijarde dolara.\xa0Slijede Nizozemska – višak od 4,4 milijarde dolara, te Velika Britanija – plus od 1,9 milijarde dolara.",3
590," 'U Njemačkoj je u 2022. manjak kvalificiranih radnika dosegao rekordne razmjere, uprkos relativno slaboj ekonomiji, pokazalo je novo istraživanje.\n Više od 630.000 slobodnih radnih mjesta za kvalificirane radnike nije se moglo popuniti prošle godine, jer u cijeloj zemlji nije bilo odgovarajuće kvalificiranih nezaposlenih osoba, prema Centru za stručnost za osiguranje kvalificiranih radnika (Kofa) Njemačkog ekonomskog instituta (IW).\n To je najveći jaz u ponudi kvalificirane radne snage od početka mjerenja 2010. godine, prenosi Hina, pozivajući se na dpa.\n Sektori zdravstva, socijalnih usluga, nastave i obrazovanja bili su najviše pogođeni, uz graditeljstvo, arhitekturu, geodeziju i građevinsku tehnologiju, gdje je ostalo nepopunjeno šest od deset slobodnih radnih mjesta.\nZaposleno gotovo 45,6 miliona ljudi\n Natprosječno je nedostajalo i kvalificiranih radnika u prirodnim naukama, geografiji i IT sektoru.\n Nedostatak kvalificiranih radnika u komercijalnim uslugama, trgovini, prodaji, hotelijerstvu i turizmu gotovo se utrostručio prošle godine, pri čemu su tri od deset otvorenih radnih mjesta prošle godine ostala nepopunjena.\n Nedostatak odgovarajuće kvalificirane radne snage odavno se odražava na tržištu rada i opće je poznato da je imigracija potrebna kako bi se riješio taj problem.\n U martu je u cijeloj Njemačkoj bilo zaposleno gotovo 45,6 miliona ljudi, više nego ikad prije.\nUprkos ekonomskom padu, inflaciji i političkoj nesigurnosti, poslodavci iz industrije, trgovine i uslužnog sektora su se domogli kvalificiranih radnika.",3
591," 'Kalifornijski finansijski regulator zatvorio je Banku Silicijske doline, šesnaestu po veličini u SAD-u. Najveća je to propast jedne američke banke od 2008. Banka nije uspjela prikupiti svjež kapital, nakon što su na njeno poslovanje utjecale više kamatne stope.",3
592," 'Međunarodni naučnici okupljeni u Francuskoj izglasali su nove najmanje i najveće mjerne jedinice, potaknuti stalno rastućom količinom podataka, a to su ronagrami i kvetametri.\n Po prvi put u više od tri desetljeća, nove mjerne jedinice dodane su Međunarodnom sistemu jedinica (SI), dogovorenom globalnom standardu za metrički sistem.\n Rona i kveta postaju oznake za najveće mjerne jedinice, a ronto i kvekto za najmanje, prenosi Hina.\n O promjeni su glasali naučnici i predstavnici vlada iz cijelog svijeta koji su prisustvovali 27. generalnoj konferenciji za utege i mjere, koja upravlja SI-om i održava se svake četiri godine u dvorcu Versailles, zapadno od Pariza.\n Nacionalni fizikalni laboratorij Velike Britanije, koji je pokrenuo inicijativu za nove mjerne jedinice, potvrdio je da je usvojena rezolucija.\n‘Blizu granice o izražavanja podataka’\n Time se olakšava izražavanje velikih količina.\n Otkako je SI uspostavljen 1960. godine, naučna potreba dovela je do sve većeg broja mjernih jedinica.\n Posljednji put su 1991. godine hemičari uveli zetu i jotu kako bi lakše izrazili velike molekuralne količine.\n Jotametar je jedinica iza koje slijede 24 nule.\n Čak niti moćna jota nije dovoljna za sve veću količinu podataka, prema Richardu Brownu, direktoru odjela za mjerne jedinice u Nacionalnom laboratoriju za fiziku Velike Britanije.\n “Vrlo smo blizu granice po pitanju izražavanja podataka u najvećoj mjernoj jedinici jotabajtima”, rekao je Brown za AFP.\n “Na donjem kraju ima smisla imati simetrično širenje, što je korisno za kvantnu nauku, fiziku čestica –\xa0kada mjerite stvarno, stvarno male stvari.”\n Nove mjerne jedinice mogu pojednostaviti govor o nekim prilično teškim objektima.\n‘Šestica iza koje slijedi 27 nula’\n “Ako razmišljamo o masi, umjesto o udaljenosti, Zemlja teži otprilike šest ronagrama,” što je šestica iza koje slijedi 27 nula, kazao je Brown.\n “Jupiter [je težak] oko dva kvetagrama”, dodao je.\n Iza kvetagrama slijedi 30 nula.\n Brown je rekao da je dobio ideju za ažuriranje kada je vidio da se koriste neodobrene mjerne jedinice za pohranu podataka kao što su brontobajti i helabajti.\n Google koristi “helabajte” od 2010. godine.\nTo su bili termini koji su neslužbeno bili u opticaju, pa je bilo jasno da SI mora nešto poduzeti, kazao je Brown.",4
593," 'Vlasti u Libanu pokrenule su kampanju za popis i registraciju sirijskih izbjeglica.\n Počele su i deportacije gotovo šest stotina izbjeglica u Siriju.\nU međuvremenu, međunarodne i organizacije za ljudska prava upozorile su na opasnost od prisilnog vraćanja izbjeglica te na nepoštivanje međunarodnih zakona o pravima izbjeglica.",5
594," 'Svečanom ceremonijom u petak navečer u Prizrenu je otvoreno 21. izdanje Međunarodnog festivala dokumentarnog i kratkometražnog filma „DokuFest“.\n Na svečanosti održanoj u ljetnom kinu\xa0 „Lumbardi” skrenuta je pažnja na teškoće preživljavanja nakon perioda pandemije i ratova u skladu sa temom ovogodišnjeg festivala “Kako preživeti?”.\n Festival je otvoren filmom Sare Doses Vatra ljubavi (Fire of Love).\n Producentkinja festivala Alba Cakalli u izjavi za Anadoliju da se ove godine očekuje oko 40.000 gostiju.\n‘Dokument o događajima u svijetu’\n „Fokus će biti na tome kako smo kao zajednica istovremeno preživeli pandemije, ratove, globalno zagrevanje, ekonomske krize, naše individualne probleme. Ovogodišnji filmovi su zapravo raznovrstan dokument o događajima u svijetu i pozivam bioskopske entuzijaste da ih pogledaju u naših 13 bioskopskih sala“, rekla Cakalli.\n U okviru festivala bit će prikazano 250 dokumentarnih i kratkih filmova, a pored filmskih projekcija bit će organizovane i radionice, tribine, izložbe fotografija, konferencije i koncerti.\n „DokuFest” je festival poznat po prikazivanju filmova u privremenim bioskopima, na reci ili u gradskom dvorcu, jer u vreme kada je osnovan u Prizrenu nije bilo kino sale.\nFestival traje od 5. do 13. avgusta, a posljednjeg dana bit će dodijeljene nagrade pobjednicima u osam takmičarskih kategorija.",2
